"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"androidx.lifecycle:lifecycle-viewmodel-savedstate:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel-savedstate-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.loader:loader:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-common:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-common-android:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-compose:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-compose-android:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-runtime:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigation:navigation-runtime-android:2.9.8","https://developer.android.com/jetpack/androidx/releases/navigation#2.9.8","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigationevent:navigationevent:1.0.0","https://developer.android.com/jetpack/androidx/releases/navigationevent#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigationevent:navigationevent-android:1.0.0","https://developer.android.com/jetpack/androidx/releases/navigationevent#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigationevent:navigationevent-compose:1.0.0","https://developer.android.com/jetpack/androidx/releases/navigationevent#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.navigationevent:navigationevent-compose-android:1.0.0","https://developer.android.com/jetpack/androidx/releases/navigationevent#1.0.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.profileinstaller:profileinstaller:1.4.0","https://developer.android.com/jetpack/androidx/releases/profileinstaller#1.4.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.resourceinspection:resourceinspection-annotation:1.0.1","https://developer.android.com/jetpack/androidx/releases/resourceinspection#1.0.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.room:room-common:2.8.4","https://developer.android.com/jetpack/androidx/releases/room#2.8.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.room:room-common-jvm:2.8.4","https://developer.android.com/jetpack/androidx/releases/room#2.8.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.room:room-ktx:2.8.4","https://developer.android.com/jetpack/androidx/releases/room#2.8.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.room:room-runtime:2.8.4","https://developer.android.com/jetpack/androidx/releases/room#2.8.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.room:room-runtime-android:2.8.4","https://developer.android.com/jetpack/androidx/releases/room#2.8.4","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.savedstate:savedstate:1.4.0","https://developer.android.com/jetpack/androidx/releases/savedstate#1.4.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.savedstate:savedstate-android:1.4.0","https://developer.android.com/jetpack/androidx/releases/savedstate#1.4.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
